"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
mpas_score,mpas,,calc,MPAS-Score?,"if([mpas_feelings] = '-99' or [mpas_involved] = '-99' or [mpas_interaction] = '-99' or [mpas_tension] = '-99' or [mpas_proud] = '-99' or [mpas_happiness] = '-99' or [mpas_belonging] = '-99' or [mpas_assesment] = '-99' or [mpas_patience] = '-99' or [mpas_iritation] = '-99' or [mpas_bother] = '-99' or [mpas_giveup] = '-99' or [mpas_privatetime] = '-99' or [mpas_responsibility] = '-99' or [mpas_playtime] = '-99' or [mpas_leave] = '-99' or [mpas_thoughts] = '-99' or [mpas_reunion] = '-99' or [mpas_duration] = '-99', -99, sum([mpas_feelings], [mpas_involved], [mpas_interaction], [mpas_tension], abs([mpas_proud]-3), abs([mpas_happiness]-3), abs([mpas_belonging]-2), [mpas_assesment], [mpas_patience], [mpas_iritation], [mpas_bother], [mpas_giveup], [mpas_privatetime], [mpas_responsibility], abs([mpas_playtime]-1), abs([mpas_leave]-4), abs([mpas_thoughts]-4), abs([mpas_reunion]-1), [mpas_duration]))",,,,,,,,,,,,
sf12_embed,sf12fragebogen_zum_gesundheitszustand,,descriptive,"<div class=""rich-text-field-label""><p>In diesem Fragebogen geht es um Ihre Beurteilung Ihres Gesundheitszustandes. Der Bogen ermöglicht es, im Zeitverlauf nachzuvollziehen, wie Sie sich fühlen und wie Sie im Alltag zurechtkommen. <br />Bitte beantworten Sie jede Frage, indem Sie bei den Antwortmöglichkeiten das Kästchen ankreuzen, das am besten auf Sie zutrifft. </p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 40.074%;""><span style=""font-weight: normal;"">Wie würden Sie Ihren Gesundheitszustand im Allgemeinen beschreiben?</span></td> <td style=""width: 59.926%;""><span style=""font-weight: normal;"">{sf12_health}</span></td> </tr> </tbody> </table> <p> </p> <p>Im Folgenden sind einige Tätigkeiten beschrieben, die Sie vielleicht an einem normalen Tag ausüben.<br />Sind Sie durch Ihren derzeitigen Gesundheitszustand bei diesen Tätigkeiten eingeschränkt? Wenn ja, wie stark?</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 43.7778%;"">Mittelschwere Tätigkeiten<span style=""font-weight: normal;"">, z.B. einen Tisch verschieben, staubsaugen, kegeln, Golf spielen</span></td> <td style=""width: 56.2222%;""><span style=""font-weight: normal;"">{sf12_mediumexercise}</span></td> </tr> <tr> <td style=""width: 43.7778%;"">Mehrere <span style=""font-weight: normal;"">Treppenabsätze steigen</span></td> <td style=""width: 56.2222%;""><span style=""font-weight: normal;"">{sf12_stairs}</span></td> </tr> </tbody> </table> <p> </p> <p>Hatten Sie in den vergangenen 4 Wochen aufgrund Ihrer körperlichen Gesundheit irgendwelche Schwierigkeiten bei der Arbeit oder anderen alltäglichen Tätigkeiten im Beruf bzw. zu Hause? </p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 47.1852%;""><span style=""font-weight: normal;"">Ich habe </span>weniger geschafft<span style=""font-weight: normal;""> als ich wollte.</span></td> <td style=""width: 52.8148%;""><span style=""font-weight: normal;"">{sf12_healthless}</span></td> </tr> <tr> <td style=""width: 47.1852%;""><span style=""font-weight: normal;"">Ich konnte</span> nur bestimmte<span style=""font-weight: normal;""> Dinge tun. </span></td> <td style=""width: 52.8148%;""><span style=""font-weight: normal;"">{sf12_healthcertain}</span></td> </tr> </tbody> </table> <p> </p> <p>Hatten Sie in den vergangenen 4 Wochen aufgrund seelischer Probleme irgendwelche Schwierigkeiten bei der Arbeit oder anderen alltäglichen Tätigkeiten im Beruf bzw. zu Hause (z.B. weil Sie sich niedergeschlagen oder ängstlich fühlten)?</p> <table style=""border-collapse: collapse; width: 100%; height: 212px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 29.8518%; height: 21px;""><span style=""font-weight: normal;"">Ich habe</span> weniger geschafft<span style=""font-weight: normal;""> als ich wollte.</span></td> <td style=""width: 70.1482%; height: 21px;""><span style=""font-weight: normal;"">{sf12_mindless}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 29.8518%; height: 43px;""><span style=""font-weight: normal;"">Ich konnte nicht so </span>sorgfältig <span style=""font-weight: normal;"">wie üblich arbeiten. </span></td> <td style=""width: 70.1482%; height: 43px;""><span style=""font-weight: normal;"">{sf12_mindconcentrade}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 100%; height: 43px;"" colspan=""2""><span style=""font-weight: normal;"">Inwieweit haben die Schmerzen Sie in den vergangenen 4 Wochen bei der Ausübung Ihrer Alltagstätigkeiten zu Hause und im Beruf behindert?         </span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 100%; height: 21px;"" colspan=""2""><span style=""font-weight: normal;"">{sf12_pain}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 100%; height: 21px;"" colspan=""2""> <p> </p> <p>In diesen Fragen geht es darum, wie Sie sich fühlen und wie es Ihnen in den vergangenen 4 Wochen ergangen ist. <br />(Bitte kreuzen Sie in jeder Zeile das Kästchen an, das Ihrem Befinden am ehesten entspricht).</p> <p><span style=""font-weight: normal;"">Wie oft waren Sie in den vergangenen </span>4 Wochen...</p> <p> </p> </td> </tr> <tr style=""height: 21px;""> <td style=""width: 29.8518%; height: 21px;""><span style=""font-weight: normal;"">... ruhig und gelassen?</span></td> <td style=""width: 70.1482%; height: 21px;""><span style=""font-weight: normal;"">{sf12_calm}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 29.8518%; height: 21px;""><span style=""font-weight: normal;"">... voller Energie?</span></td> <td style=""width: 70.1482%; height: 21px;""><span style=""font-weight: normal;"">{sf12_energized}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 29.8518%; height: 21px;""><span style=""font-weight: normal;"">... entmutigt und traurig?</span></td> <td style=""width: 70.1482%; height: 21px;""><span style=""font-weight: normal;"">{sf12_sad}</span></td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 39.9259%; border-style: solid;""><span style=""font-weight: normal;"">Wie häufig haben Ihre körperliche Gesundheit oder seelischen Probleme in den vergangenen 4 Wochen Ihre Kontakte zu anderen Menschen (Besuche bei Freunden, Verwandten usw.) beeinträchtigt?  </span></td> <td style=""width: 60.0741%; border-style: solid;""><span style=""font-weight: normal;"">{sf12_contact}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
sf12_healthless,sf12fragebogen_zum_gesundheitszustand,,radio,"Ich habe weniger geschafft als ich wollte.","2, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,,,sf12_3,,
sf12_healthcertain,sf12fragebogen_zum_gesundheitszustand,,radio,"Ich konnte nur bestimmte Dinge tun.","2, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,,,sf12_3,,
sf12_health,sf12fragebogen_zum_gesundheitszustand,,radio,"Wie würden Sie Ihren Gesundheitszustand im Allgemeinen beschreiben?","1, Ausgezeichnet | 2, Sehr gut | 3, Gut | 4, Weniger gut | 5, Schlecht | -99, Fehlende Antwort",,,,,,,,,,sf12_1,,
sf12_mediumexercise,sf12fragebogen_zum_gesundheitszustand,,radio,"Mittelschwere Tätigkeiten, z.B. einen Tisch verschieben, staubsaugen, kegeln, Golf spielen","1, Ja, stark eingeschränkt | 2, Ja, etwas eingeschränkt | 3, Nein | -99, Fehlende Antwort",,,,,,,,,,sf12_2,,
sf12_stairs,sf12fragebogen_zum_gesundheitszustand,,radio,"Mehrere Treppenabsätze steigen","1, Ja, stark eingeschränkt | 2, Ja, etwas eingeschränkt | 3, Nein | -99, Fehlende Antwort",,,,,,,,,,sf12_2,,
sf12_mindless,sf12fragebogen_zum_gesundheitszustand,,radio,"Ich habe weniger geschafft als ich wollte.","2, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,,,sf12_4,,
sf12_mindconcentrade,sf12fragebogen_zum_gesundheitszustand,,radio,"Ich konnte nicht so sorgfältig wie üblich arbeiten.","2, Nein | 1, Ja | -99, Fehlende Antwort",,,,,,,,,,sf12_4,,
sf12_pain,sf12fragebogen_zum_gesundheitszustand,,radio,"Inwieweit haben die Schmerzen Sie in den vergangenen 4 Wochen bei der Ausübung Ihrer Alltagstätigkeiten zu Hause und im Beruf behindert?","1, Überhaupt nicht | 2, Ein bisschen | 3, Mäßig | 4, Ziemlich | 5, Sehr | -99, Fehlende Antwort",,,,,,,,,,sf12_5,,
sf12_calm,sf12fragebogen_zum_gesundheitszustand,,radio,"... ruhig und gelassen?","1, Immer | 2, Meistens | 3, Ziemlich oft | 4, Manchmal | 5, Selten | 6, Nie | -99, Fehlende Antwort",,,,,,,,,,sf12_6,,
sf12_energized,sf12fragebogen_zum_gesundheitszustand,,radio,"... voller Energie?","1, Immer | 2, Meistens | 3, Ziemlich oft | 4, Manchmal | 5, Selten | 6, Nie | -99, Fehlende Antwort",,,,,,,,,,sf12_6,,
sf12_sad,sf12fragebogen_zum_gesundheitszustand,,radio,"... entmutigt und traurig?","1, Immer | 2, Meistens | 3, Ziemlich oft | 4, Manchmal | 5, Selten | 6, Nie | -99, Fehlende Antwort",,,,,,,,,,sf12_6,,
sf12_contact,sf12fragebogen_zum_gesundheitszustand,,radio,"Wie häufig haben Ihre körperliche Gesundheit oder seelischen Probleme in den vergangenen 4 Wochen Ihre Kontakte zu anderen Menschen (Besuche bei Freunden, Verwandten usw.) beeinträchtigt?","1, Immer | 2, Meistens | 3, Manchmal | 4, Selten | 5, Nie | -99, Fehlende Antwort",,,,,,,,,,sf12_7,,
sf12_score_1,sf12fragebogen_zum_gesundheitszustand,,calc,"Körperliche Summenskala ?","if([sf12_health] = '-99' or [sf12_mediumexercise] = '-99' or [sf12_stairs] = '-99' or [sf12_healthless] = '-99' or [sf12_healthcertain] = '-99' or [sf12_pain] = '-99', -99, sum(abs([sf12_health]-6), [sf12_mediumexercise], [sf12_stairs], [sf12_healthless],  [sf12_healthcertain], abs([sf12_pain]-6)))",,,,,,,,,,,,
sf12_score_2,sf12fragebogen_zum_gesundheitszustand,,calc,"Psychische Summenskala ?","if([sf12_mindless] = '-99' or [sf12_mindconcentrade] = '-99' or [sf12_calm] = '-99' or [sf12_energized] = '-99' or [sf12_sad] = '-99' or [sf12_contact] = '-99', -99, sum([sf12_mindless], [sf12_mindconcentrade], abs([sf12_calm]-7), abs([sf12_energized]-7),  [sf12_sad], [sf12_contact]))",,,,,,,,,,,,
sf12_score,sf12fragebogen_zum_gesundheitszustand,,calc,"SF-12 Score ?","if([sf12_mindless] = '-99' or [sf12_mindconcentrade] = '-99' or [sf12_calm] = '-99' or [sf12_energized] = '-99' or [sf12_sad] = '-99' or [sf12_contact] = '-99' or [sf12_health] = '-99' or [sf12_mediumexercise] = '-99' or [sf12_stairs] = '-99' or [sf12_healthless] = '-99' or [sf12_healthcertain] = '-99' or [sf12_pain] = '-99', -99, sum([sf12_mindless], [sf12_mindconcentrade], abs([sf12_calm]-7), abs([sf12_energized]-7),  [sf12_sad], [sf12_contact], abs([sf12_health]-6), [sf12_mediumexercise], [sf12_stairs], [sf12_healthless],  [sf12_healthcertain], abs([sf12_pain]-6)))",,,,,,,,,,,,
bsi_embed,brief_symptom_inventory_bsi,,descriptive,"<div class=""rich-text-field-label""><p>Bitte geben Sie an, wie stark folgende Empfindungen in den letzten sieben Tagen bei Ihnen ausgeprägt waren.</p> <table style=""border-collapse: collapse; width: 100%; height: 1006px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Ohnmachts- oder Schwindelgefühle</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_dizziness}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Die Idee, dass irgendjemand Macht über Ihre inneren Gedanken hat</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_power_ideas}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Das Gefühl, andre sind an den meisen Ihrer Schwierigkeiten schuld</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_other_fault}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Gedächtnisschwierigkeiten</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_memory_trouble}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Das Gefühl, leicht reizbar oder verärgerbar zu sein</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_irritable}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Schmerzen am Herzen oder über dem Brustkorb</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_heart_pain}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Gefühl, dass man den meisten Leuten nicht trauen kann</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_no_trust}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Gefühlsausbrüche, denen gegenüber Sie machtlos waren</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_ebulltion}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Einsamkeitsgefühle, selbst wenn Sie in Gesellschaft sind</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_loneliness}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Das Gefühl, dass es Ihnen schwer fällt, etwas anzufangen</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_hard_start}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Übelkeit oder Magenverstimmung</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_sickness}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Das Gefühl, dass andere Sie beobachten oder über Sie reden</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_observate}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Der Zwang, wieder und wieder zu kontrollieren, was Sie tun</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_force_todo}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Schwierigkeiten, sich zu entscheiden</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_hard_decide}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Schwierigkeiten beim Atmen</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_hard_breath}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Hitzewallungen oder Kälteschauer</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_hot_flush}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Leere im Kopf</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_empty_head}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Taubheit oder Kribbeln in einzelnen Körperteilen</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_numbness}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Gedanken, dass Sie für Ihre Sünden bestraft werden sollten</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_sin_punish}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Konzentrationsschwierigkeiten</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_concentration}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Schwächegefühle in einzelnen Körperteilen</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_weakness}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Der Drang, jemanden zu schlagen, zu verletzten oder ihm Schmerzen zuzufügen</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_slap}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Der Drang, Dinge zu zerbrechen oder zu zerschmettern</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_break_sth}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Der Eindruck, sich einer anderen Person nie so richtig nahe fühlen zu können</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_close_feel}</span></td> </tr> <tr style=""height: 65px;""> <td style=""width: 46.2963%; height: 65px; border-style: dotted;""><span style=""font-weight: normal;"">Die Neigung, immer wieder in Erörterungen und Auseinandersetzungen zu geraten</span></td> <td style=""width: 53.7037%; height: 65px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_consideration}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 46.2963%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">Mangelnde Anerkennung Ihrer Leistung durch andere</span></td> <td style=""width: 53.7037%; height: 43px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_recognition}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Das Gefühl, dass die Leute Sie ausnutzen würden, wenn Sie es zulassen würden</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_exploit}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 46.2963%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">Das Gefühl, dass irgendetwas mit Ihrem Verstand nicht in Ordnung ist</span></td> <td style=""width: 53.7037%; height: 21px; border-style: dotted;""><span style=""font-weight: normal;"">{bsi_understand}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
bsi_nervous,brief_symptom_inventory_bsi,,radio,"Nervosität oder inneres Zittern","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_dizziness,brief_symptom_inventory_bsi,,radio,"Ohnmachts- oder Schwindelgefühle","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_power_ideas,brief_symptom_inventory_bsi,,radio,"Die Idee, dass irgendjemand Macht über Ihre inneren Gedanken hat","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_other_fault,brief_symptom_inventory_bsi,,radio,"Das Gefühl, andre sind an den meisen Ihrer Schwierigkeiten schuld","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_memory_trouble,brief_symptom_inventory_bsi,,radio,Gedächtnisschwierigkeiten,"0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_irritable,brief_symptom_inventory_bsi,,radio,"Das Gefühl, leicht reizbar oder verärgerbar zu sein","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_heart_pain,brief_symptom_inventory_bsi,,radio,"Schmerzen am Herzen oder über dem Brustkorb","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_open_place,brief_symptom_inventory_bsi,,radio,"Furcht auf offenen Plätzen oder auf der Straße","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_take_life,brief_symptom_inventory_bsi,,radio,"Der Gedanke, sich das Leben zu nehmen","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_no_trust,brief_symptom_inventory_bsi,,radio,"Gefühl, dass man den meisten Leuten nicht trauen kann","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_bad_appetit,brief_symptom_inventory_bsi,,radio,"Schlechter Appetit","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_scare,brief_symptom_inventory_bsi,,radio,"Plötzliches Erschrecken ohne Grund","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_ebulltion,brief_symptom_inventory_bsi,,radio,"Gefühlsausbrüche, denen gegenüber Sie machtlos waren","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_loneliness,brief_symptom_inventory_bsi,,radio,"Einsamkeitsgefühle, selbst wenn Sie in Gesellschaft sind","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_hard_start,brief_symptom_inventory_bsi,,radio,"Das Gefühl, dass es Ihnen schwer fällt, etwas anzufangen","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_lonely_feeling,brief_symptom_inventory_bsi,,radio,Einsamkeitsgefühle,"0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_melancholy,brief_symptom_inventory_bsi,,radio,Schwermut,"0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_not_interested,brief_symptom_inventory_bsi,,radio,"Das Gefühl, sich für nichts zu interessieren","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_fearfulness,brief_symptom_inventory_bsi,,radio,Furchtsamkeit,"0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_vulnerability,brief_symptom_inventory_bsi,,radio,"Verletzlichkeit in Gefühlsdingen","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_suffer,brief_symptom_inventory_bsi,,radio,"Das Gefühl, dass die Leute unfreundlich sind oder Sie nicht leiden können","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_inferiority,brief_symptom_inventory_bsi,,radio,"Minderwertigkeitsgefühlen gegenüber anderen","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_sickness,brief_symptom_inventory_bsi,,radio,"Übelkeit oder Magenverstimmung","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_observate,brief_symptom_inventory_bsi,,radio,"Das Gefühl, dass andere Sie beobachten oder über Sie reden","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_difficult_sleep,brief_symptom_inventory_bsi,,radio,Einschlafschwierigkeiten,"0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_force_todo,brief_symptom_inventory_bsi,,radio,"Der Zwang, wieder und wieder zu kontrollieren, was Sie tun","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_hard_decide,brief_symptom_inventory_bsi,,radio,"Schwierigkeiten, sich zu entscheiden","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_fear_bus,brief_symptom_inventory_bsi,,radio,"Furcht vor Fahrten in Bus, Straßenbahn, U-Bahn oder Zug","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_hard_breath,brief_symptom_inventory_bsi,,radio,"Schwierigkeiten beim Atmen","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_hot_flush,brief_symptom_inventory_bsi,,radio,"Hitzewallungen oder Kälteschauer","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_avoid_activities,brief_symptom_inventory_bsi,,radio,"Die Notwendigkeit, bestimmte Dinge, Orte oder Tätigkeiten zu meiden, weil Sie durch diese erschreckt werden","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_empty_head,brief_symptom_inventory_bsi,,radio,"Leere im Kopf","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
bsi_numbness,brief_symptom_inventory_bsi,,radio,"Taubheit oder Kribbeln in einzelnen Körperteilen","0, nie | 1, selten | 2, manchmal | 3, häufig | 4, immer | -99, Fehlende Antwort",,,,,,,,,,bsi,,
